Ultrasonic_Depth_cm,Road_Condition
18.727005942368123,1
47.53571532049581,1
36.59969709057025,1
29.93292420985183,1
7.800932022121826,1
7.799726016810133,1
2.9041806084099733,0
43.308807288746756,1
30.05575058716044,1
35.40362888980228,1
1.0292247147901223,0
48.49549260809972,1
41.622132040021086,1
10.616955533913808,1
9.091248360355031,1
9.17022549267169,1
15.212112147976885,1
26.237821581611893,1
21.597250932105787,1
14.561457009902096,1
30.592644736118974,1
6.974693032602092,1
14.607232426760907,1
18.318092164684586,1
22.803499210851797,1
39.25879806965068,1
9.983689107917987,1
25.71172192068058,1
29.620728443102124,1
2.3225206359998865,0
30.37724259507192,1
8.526206184364577,1
3.252579649263976,0
47.44427686266666,1
48.28160165372797,1
40.419867405823055,1
15.230688458668535,1
4.883605700319194,0
34.211651325607846,1
22.007624686980066,1
6.101911742238942,1
24.75884550556351,1
1.7194260557609198,0
45.4660201039391,1
12.938999080000846,1
33.1261142176991,1
15.585553804470548,1
26.00340105889054,1
27.335513967163983,1
9.242722776276352,1
48.47923138822793,1
38.75664116805573,1
46.97494707820945,1
44.74136752138244,1
29.894998940554256,1
46.093711751155844,1
4.424625102595975,0
9.79914312095726,1
2.2613644455269033,0
16.266516538163216,1
19.4338644844741,1
13.567451588694796,1
41.436875457596464,1
17.837666334679465,1
14.046725484369038,1
27.134804157912424,1
7.046211248738132,1
40.109849037701984,1
3.727532183988541,0
49.34434683002586,1
38.61223846483287,1
9.93578407670862,1
0.27610585618011996,0
40.77307142274171,1
35.34286719238086,1
36.45035840204937,1
38.56351733429729,1
3.7022325867045183,0
17.92328642721363,1
5.793452976256486,1
43.155171293779674,1
31.164906341377897,1
16.54490124263246,1
3.177917514301182,0
15.54911608578311,1
16.259166101337353,1
36.480308916903205,1
31.877873567760656,1
44.36063712881633,1
23.610746258097464,1
5.9797122969150855,1
35.66223936114975,1
38.03925243084487,1
28.063859878474812,1
38.54835899772805,1
24.689779818219538,1
26.136641469099704,1
21.37705091792748,1
1.2709563372047594,0
5.394571349665222,1
1.5714592843367126,0
31.82052056318902,1
15.717799053816334,1
25.42853455823514,1
45.37832369630465,1
12.464611457443747,1
20.519146151781488,1
37.77755692715243,1
11.439908274581123,1
3.8489954914396494,0
14.4875726456884,1
8.061064362700222,1
46.484882617128655,1
40.40601897822085,1
31.67018782552117,1
43.57302950938588,1
40.18360384495573,1
9.328502944301793,1
44.627949924498886,1
26.967112095782536,1
40.372007758203125,1
44.80456499617466,1
15.900173748593193,1
5.502596226383838,1
11.396758127097083,1
21.355389431312815,1
40.90073829612466,1
43.036529162817175,1
0.34760652655953517,0
25.537365128878285,1
20.87055015743895,1
11.105390523536512,1
5.99326836668414,1
16.8807585701814,1
47.14548519562596,1
16.160146601037763,1
25.939531087168305,1
35.15094794475889,1
18.1814801189647,1
48.589104136048036,1
48.122364747105564,1
12.589114791268209,1
24.86242529461927,1
15.043915490838483,1
14.242024718873381,1
1.8443473677266398,0
30.478216698994842,1
25.133951161443076,1
2.5739375624994674,0
13.932323211830571,1
45.41329429833269,1
11.97809453334862,1
7.244743604561155,1
24.47263801387815,1
49.282522705530035,1
12.10276357557502,1
33.606777370293926,1
38.08098076643588,1
11.881877199619984,1
36.41081743059298,1
18.38915663596266,1
31.615291529678974,1
31.676485538044734,1
26.788734203737924,1
4.514488502720415,0
41.7651247794619,1
16.03900324858679,1
9.325925519992712,1
2.038757077738196,0
29.54464715941209,1
33.87821809211412,1
0.8293914463928076,0
25.60465291496405,1
11.324788759896897,1
32.25863952047249,1
8.718321450249572,1
34.546886905123294,1
19.33676731502687,1
46.836499436836725,1
6.876047207299663,1
17.053317552512926,1
5.673676062029454,1
46.23468091392814,1
43.86696766904905,1
12.89708138575778,1
32.999202301708955,1
40.86111001006079,1
27.760040579973115,1
26.482528917800323,1
12.092614545022585,1
4.655138390294961,0
44.860787897666334,1
45.02090285816652,1
31.655072863663396,1
16.951489552435035,1
17.460478730633046,1
36.297783943511966,1
44.85551299762886,1
44.354321213255865,1
38.99377729288119,1
32.10158230771439,1
4.206998249752441,0
8.081435704730689,1
44.927709426353964,1
30.321452982979498,1
0.4598525808314824,0
5.0735771433016055,1
33.17508845540279,1
0.25307919231093434,0
8.040402570874933,1
27.436689468329305,1
34.59475988463466,1
32.59806297513003,1
11.21346547302799,1
35.6089610673768,1
11.862454374840004,1
16.269984907963387,1
37.32457025590121,1
32.48164495236073,1
42.4611705247089,1
32.88064461501717,1
28.415430166773582,1
4.683738391404624,0
18.385790152971676,1
13.260118384086272,1
12.199482168954178,1
48.65052773762228,1
19.65488623333802,1
44.602327758855665,1
31.556931299863145,1
39.74056517708242,1
25.131854655259605,1
28.845194231317954,1
24.625884690943195,1
9.762149389902225,1
36.12260576307526,1
14.03861812204279,1
1.215798321572692,0
32.27361479535839,1
8.855533970352447,1
47.02292921764572,1
47.696428850129365,1
45.743219511022424,1
18.50793501277222,1
0.7728308264433714,0
46.415928129386266,1
21.409207415865716,1
48.33274095218348,1
48.18099885446264,1
42.650472773368,1
14.722444603479284,1
19.254886430096263,1
42.556833575842845,1
15.846100257813884,1
8.474637334304624,1
27.840063122917506,1
46.80773870803905,1
34.80148983374865,1
28.50305850446825,1
4.8588246885384265,0
30.750361334958487,1
49.50269250521316,1
7.004200761826201,1
25.916482618186837,1
43.86865359639777,1
37.03843088771022,1
34.8507870497634,1
35.12420419935546,1
17.97455756098776,1
14.679592213224668,1
40.46805777392568,1
40.50566973395904,1
43.35361592900519,1
45.66202762782356,1
25.56711994304689,1
25.07581473435998,1
39.91475894833876,1
32.49819653888826,1
35.098343862885166,1
39.789633471805054,1
44.50026709087832,1
16.89975784257679,1
18.7791476319972,1
4.69909699204345,0
28.9140070498087,1
1.7971136898371043,0
23.27990090662301,1
27.13223173537883,1
14.32706260641422,1
29.541663028450536,1
1.5250124969524714,0
1.8674094374607209,0
41.13002803298291,1
18.009532070563143,1
6.353025632594239,1
26.112163002740218,1
38.499677654930544,1
10.791051374842159,1
31.144523790950014,1
4.2673732496884,0
2.584086058430385,0
26.5677315784074,1
27.031756080505325,1
31.871495074910328,1
36.30456668613308,1
48.79260397312673,1
25.815017415059767,1
16.1478236470623,1
